epoch,pwPE_xprob,pwPE_xvol,N400_average,P600_average
5,-0.048877689,-0.010482958,5.072488187051366e-08,-1.1879314311713595e-06
8,0.04924779,-0.007954128,-2.0287333437939643e-06,-6.968192549109968e-07
11,-0.027990769,-0.015677094,-2.2421047630402007e-06,4.287988534170191e-06
14,0.027243039,-0.014336918,-5.2652866813511516e-06,3.1402739729357815e-06
17,-0.045571501,-0.022634562,3.0325577068630623e-06,-2.5532266169008644e-06
20,-0.078540482,-0.027682206,-3.878467819110383e-06,7.121424994035784e-06
23,-0.092234463,-0.030360789,-1.3015039395258409e-07,4.192584027705511e-06
26,0.175448855,-0.0047693,3.4104816631794023e-06,-8.741853405974655e-07
29,-0.078026709,-0.032244856,-2.298757915277488e-06,5.033249220085556e-06
32,-0.092034,-0.034718761,-2.131404868905229e-06,-5.163515990739152e-06
35,-0.096925728,-0.035368177,-4.071832598536255e-06,3.942698104190782e-06
38,0.231784199,0.002282317,5.234904724669219e-07,-3.1810049530611293e-06
41,-0.089362838,-0.037220891,-1.9590082091597104e-06,5.216476297316513e-06
44,-0.097108349,-0.03853145,-7.158966564007529e-06,4.343542330417243e-06
47,-0.098714573,-0.038223977,-4.103802205396121e-06,1.7249075913323066e-06
50,-0.097554543,-0.037061085,-5.788707744637963e-06,1.8016229069873487e-06
53,-0.095133497,-0.035490414,-1.2526851372193094e-06,8.948054288697193e-06
56,-0.092160308,-0.033765851,-2.7350984929235576e-06,3.846262401062991e-06
59,-0.088984884,-0.032026643,-3.2482316974227272e-06,-1.6818701566128187e-06
62,-0.085785707,-0.03034576,-4.15948956992219e-06,5.7613202804831595e-06
65,-0.082654987,-0.028758456,-4.160349369422751e-06,-1.555668740037902e-06
68,-0.079639552,-0.027278859,-1.7472363226730903e-06,3.0505288712237006e-06
71,-0.076761521,-0.025909522,-3.501172043667637e-06,3.658042769297972e-06
74,-0.074029248,-0.024646896,-4.20292393565078e-06,2.0647413018886825e-06
77,-0.071443336,-0.023484436,-2.372430641427779e-06,-4.631786705072498e-06
80,-0.069000057,-0.022414362,-1.6729540422480348e-06,4.832808652103712e-06
83,0.753650106,0.084123873,-3.5412513424354835e-06,4.076966440410187e-06
86,-0.117625753,-0.033983932,-5.254311767207105e-06,-5.014272429643333e-07
89,-0.105726525,-0.033285249,2.868187480914629e-07,-7.988302194644729e-07
92,-0.096815691,-0.032131827,-3.0416911215854348e-06,4.571843166120485e-06
95,-0.089854438,-0.0307636,-3.7893972846142962e-06,3.7900156910197752e-06
98,-0.084218137,-0.029322096,3.2044206938467446e-08,1.4746135602038957e-06
101,-0.079518389,-0.027888741,-3.866798762377135e-06,1.8238940014829424e-07
104,-0.075504732,-0.02650822,3.6014119637864945e-07,3.8409811801717884e-07
110,-0.068919124,-0.023982575,-2.5236165827051546e-06,3.7909769497708813e-07
113,-0.066150486,-0.022848576,-2.6445087260471797e-06,-4.416347244595181e-06
116,-0.063644742,-0.021798574,-1.917716385152561e-06,4.141670865904644e-06
119,-0.061357645,-0.020827891,6.580301357251189e-07,-1.7749354145511818e-06
122,-0.059255468,-0.019930846,-4.13472659786866e-06,6.384646500531605e-06
128,-0.055506345,-0.018333843,-1.1087634756072352e-06,-6.003993070952582e-06
131,1.004497398,0.135310382,3.0914121997565263e-06,7.689918737478075e-06
134,-0.121204817,-0.035145308,-2.577451623445829e-06,-1.5478127163425012e-06
140,-0.094987557,-0.032476491,-3.3275240491499763e-06,-2.53906306138791e-06
143,-0.086867661,-0.030940585,3.3812786419781526e-08,-4.554403837139169e-06
146,-0.080527834,-0.029399958,2.443845352062016e-06,-3.3174875943760323e-06
149,-0.075405324,-0.027904641,-2.646620870163403e-06,6.064790736336576e-06
152,0.807103689,0.130665358,-6.721682305967036e-06,2.852662742805179e-06
155,0.428436541,0.07195384,-2.841605646889375e-06,2.4739658675778792e-06
158,0.103536578,-0.010335375,-1.8778763931632303e-06,4.846423601169597e-06
161,-0.039760567,-0.059044652,1.1192039558983018e-06,4.0687554234416105e-06
164,-0.087598635,-0.074912777,-9.543539552051402e-07,1.0308680941221432e-06
167,-0.101411418,-0.075365051,-1.986309862172648e-06,6.2142623189425205e-06
170,-0.103474446,-0.070545237,5.306308140116154e-07,-6.417625960361449e-06
173,0.250228636,0.014089515,1.1128848366886262e-06,4.1518280871028465e-06
176,-0.093109961,-0.072472871,2.0303258186289043e-06,4.525941973278439e-06
179,-0.099723204,-0.069221943,-3.601065506690788e-07,-1.6044662935304514e-07
182,0.2166846,0.003487209,3.708270179524531e-06,-2.8795131654915446e-06
185,0.068547404,-0.035882412,-2.1730101095937162e-06,7.382698360282782e-06
188,-0.022012987,-0.059023547,-6.0089735315770575e-06,1.0285009608576215e-05
191,-0.067123761,-0.067408407,2.8466612926173307e-06,-5.1573418014347965e-06
194,-0.087181193,-0.067529978,-9.263978605002244e-08,2.287964875312061e-06
197,-0.094930839,-0.064031266,1.2031487117771129e-06,-3.6268890119626746e-06
200,-0.096768577,-0.059302382,-1.4070408705022946e-06,-1.4101061459364347e-06
203,-0.095764378,-0.054422718,-1.5827461342302973e-07,-8.808683605768403e-06
206,-0.0934096,-0.049834158,-1.3070310313927408e-06,-2.2285305214666258e-06
209,-0.090448309,-0.045687668,6.813450506928054e-08,8.285543606101324e-07
212,0.405779199,0.043656792,-1.5712633233568126e-06,-1.278018060527079e-06
215,0.206680531,0.004584091,-2.4819609745612764e-06,7.724288039611312e-06
218,0.050786909,-0.030694162,-6.877281144590354e-06,1.6575920515296453e-06
221,-0.034633067,-0.051011064,-1.1067701908199398e-06,6.570900286180507e-06
224,-0.073806198,-0.05894733,-3.357019728418443e-06,4.427218812059693e-06
227,-0.090066832,-0.059888046,1.6049193637284188e-06,-1.8974432884019704e-06
230,-0.095734881,-0.057551996,-1.5241574732920578e-08,-1.1917530182854006e-06
233,-0.096496878,-0.053933775,-1.1639252152208328e-06,1.5364183257806744e-06
236,-0.094962753,-0.049997365,6.900927472992882e-07,-1.229359108647216e-06
239,-0.092368791,-0.046175993,-8.33738950950625e-07,-6.2361504479228035e-06
242,0.368726999,0.034679562,8.034359787221049e-07,-2.124063769139727e-06
245,0.181623753,-0.00140661,-2.231142591756511e-06,4.695145807716846e-06
248,0.039664435,-0.032292579,1.1582878299333596e-06,3.7236429543684318e-06
251,-0.038013956,-0.049804128,2.3022925574058024e-07,4.545341263763427e-06
254,-0.074134376,-0.056649778,1.0687412895977484e-06,-2.26108365434667e-06
257,-0.089388581,-0.057423378,1.6555115584281073e-06,9.945065675183485e-08
260,0.163166502,-0.009700948,-5.540746444731597e-06,6.8878850212240965e-06
263,-0.074632187,-0.056021404,4.0560675547889755e-06,-2.0617155976481185e-07
266,-0.089254056,-0.056525678,-3.8095213154762295e-06,4.4891862024274195e-06
269,0.164852259,-0.009256519,-2.054829420046334e-06,2.0235368545889685e-06
272,0.04393491,-0.034336991,1.6791213284688423e-06,-2.3210461730188456e-06
275,-0.029817616,-0.049231829,8.770164917688148e-07,4.783924632118906e-06
278,-0.067702746,-0.055316577,-1.2256106316760529e-06,5.043387338123742e-06
281,-0.085288315,-0.056065687,-3.1022310773332195e-06,2.812910865050683e-06
284,-0.092456424,-0.054124646,1.6123668678986871e-06,-2.473245684244249e-06
287,-0.09438592,-0.051034803,1.846180787684214e-07,2.72864346901781e-06
290,0.257263109,0.01030091,3.520613087395445e-06,-5.808638764566128e-06
293,-0.091895584,-0.052299535,-4.59455725539412e-06,1.306244663771024e-06
296,-0.096371644,-0.051211676,-9.520587332967538e-07,6.679051651016165e-06
299,-0.096442484,-0.048719524,5.2530708207275795e-06,-9.811888733831685e-06
